property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
2 Bhk Apartment For Sale In Kadodara Surat,Super Area,682 sqft,Resale,Ready To Move,2 Out Of 5,Unfurnished,1,Multistorey Apartment Is Available For Sale. It Is A Good Location Property. Please Contact For More Details.Read More,4697.5,Call for Price
2 Bhk Apartment For Sale In Dindoli Surat,Carpet Area,688 sqft,New Property,Ready To Move,8 Out Of 8,Unfurnished,East,"Project With Basement Parking, Build With Advanced Machinery And Standard Materials That Last Long. Best Project For A Happy Family Life.Read More",2700.0,₹32 Lac 
"2 Bhk Apartment For Sale In Orchid Gardenia, Palanpur Surat",Super Area,1215 sqft,New Property,Poss. By Sep '25,6 Out Of 14,Unfurnished,East,"This Budgetfriendly 2 Bhk Flat Is Surrounded By Lowrise Buildings, Offering An Open And Spacious Environment. With A Lower Price Tag Compared To Nearby Projects, Its A Great Deal For Comfortable Living. Enjoy The Open Surroundings And Affordable Luxury In This Charming Residence.Read More",3991.0,₹48.5 Lac 
"2 Bhk Apartment For Sale In Orchid Fantasia, Palanpur Surat",Super Area,1250 sqft,New Property,Ready To Move,6 Out Of 14,Unfurnished,East,2 And  Bhk Luxurious Flat For Sale In Palanpur Area With Attractive Rate And All Aminitiesread More,3535.0,₹44.2 Lac 
"2 Bhk Apartment For Sale In Anand Aspire, Jahangirabad Surat",Super Area,1280 sqft,Unfurnished,Poss. By Dec '25,New Property,Anand Aspire,2,"Multistorey Apartment For Sale In Jahangirabad, Surat. Covered Area Is 1280.0  Sq-Ft. This Property Belongs To ""Anand Aspire"" .Read More",3411.0,₹43.7 Lac 
2 Bhk  House For Sale In Dindoli Surat,Carpet Area,912 sqft,Unfurnished,Poss. By Oct '24,New Property,East,"Pool, Garden/Park, Main Road",Location,4697.5,₹34 Lac 
Plot/Land For Sale In Dandi Road Surat,Plot Area,820 sqft,New Property,41 X 20,Co-Operative Society,3,2,"Planning To Build Residence In Surat This Plot In Vankala Is The Best Deal For You. It Spans Over Spectacular 91 Sq.Yd. Super Built Up Area. Ownership Of This Property Provides You Entitlement To Construct Upto 2 Floor. The Boundary Wall Is Already Build Around The Plot. To Build The Residence, Possession Is Ready. The Property Belongs To Owner Through Cooperative Society Ownership. This Residential Plot Is All Yours For  48.21 Lac. Its A East Facing Plot.Read More",5879.0,₹48.2 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,725 sqft,New Property,Ready To Move,3 Out Of 14,Unfurnished,West,"A Combination Of Modern And Traditional Designs For Families And Alike, This Is Built To Blend Into The Surroundings And Provide Endless Comfort.Read More",3751.0,₹46.9 Lac 
3 Bhk Apartment For Sale In Vanakala Surat,Carpet Area,852 sqft,New Property,Poss. By May '26,5 Out Of 14,Unfurnished,East,Near To New D Mart Ugat Canal Road Location With Very Afordable Price And Very Close To Extended New Gauravpath Road From Pal Haveli To New Gauravpathread More,3206.0,₹49.7 Lac 
2 Bhk Apartment For Sale In Dindoli Surat,Super Area,1170 sqft,New Property,Poss. By Jan '25,4 Out Of 11,Unfurnished,East,"Near Kharvasa Road 2Bhk Project With Gym, Banquet Hall,Solar Panel Etcread More",2691.0,₹31.5 Lac 
1 Bhk  House For Sale In Palsana Surat,Super Area,450 sqft,New Property,Ready To Move,Ground Out Of 1,Unfurnished,East,"A Residential House Is Available For Sale. Best For Resident, Sweet Water, Good Atmosphere.Read More",2889.0,₹13 Lac 
1 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,421 sqft,New Property,Ready To Move,14 Out Of 14,Unfurnished,East,This Is 1 Bhk Fully Furnished Flat For Sale. Its Newly Constructed Building. With New Furnisture And Electronicread More,3846.0,₹29.5 Lac 
2 Bhk Apartment For Sale In Bamroli Surat,Carpet Area,670 sqft,Unfurnished,Ready To Move,New Property,East,Main Road,Beautifully Constructed 2 Bhk Flat In Althan,3951.0,₹47.8 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,1280 sqft,New Property,Poss. By Apr '26,7 Out Of 14,Unfurnished,South -West,2 And 3 Bhk Project Near D Mart Jahangirabad. 2 Bhk 1280 Sq Ft To 1360 Sq Ft. 3 Bhk 1625 Sq Ft To 1835 Sq Ft. All Luxurious Amenities. Loan Interest Pay By Builder Till Possession.Good Projectbest Locationread More,3251.0,₹41.6 Lac 
3 Bhk Villa For Sale In Masma Village Surat,Carpet Area,1600 sqft,Unfurnished,Poss. By Aug '24,New Property,East,Freehold,Main Road Touch Underconstruction Project.,2601.0,₹41.6 Lac 
2 Bhk Apartment For Sale In Althan Surat,Carpet Area,702 sqft,New Property,Poss. By Jan '25,5 Out Of 14,Unfurnished,North - West,Huge Entrance Gate With Security Cabinlighted Water Cascade,4697.5,Call for Price
"2 Bhk Apartment For Sale In Swagat Callista, Bamroli Surat",Super Area,1240 sqft,New Property,Ready To Move,9 Out Of 14,Unfurnished,South - East,Luxurious Flat For Sell With All Luxurious Aminities .More Details Please Contact.Read More,3629.0,₹45 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1050 sqft,Resale,Ready To Move,4 Out Of 6,Unfurnished,East,"Flat  Sell In Surat Citys Prime Locality With  .All Thing Nearest Like Market , Transportation , School Etc.Contact For More Details .Read More",3143.0,₹33 Lac 
"2 Bhk Apartment For Sale In Times Galaxy, Bhesan Gam Surat",Super Area,1155 sqft,Resale,Ready To Move,7 Out Of 13,Semi-Furnished,North - East,"2 Bhk Flat For Sell, It Is A Superb Property And Offers An Excellent View. The Flat Is Semi Furnished With Multiple Amenities And Promises A Comfortable Stay. Indeed, The Society Too Has For Enjoyment, Such As Club Housecommunity Center, Fitness Centregym, And Security Personnel Etc, Other Facilities Include Intercom Facility, Lift And Park Etc.Read More",3290.0,₹38 Lac 
3 Bhk Villa For Sale In Masma Village Surat,Super Area,111 sqyrd,Unfurnished,Poss. By Jul '25,New Property,East,"Garden/Park, Main Road",3 Or 4 Bhk Villas For Residency Which Is In Surat Most Developing Area. For More Detail Contact Usread More,3855.0,₹38.5 Lac 
Plot/Land For Sale In Narthan Surat,Plot Area,1197 sqft,Resale,21 X 57,Freehold,2,1,"This Society Is Located At Green Zone With Education Zone Purely Resident Area And Upcoming New Development At This Area. Jahangirpura Dandi Narthan Road, 4 Lane Developing Road With All The Modern Facilites, More Than 7 International Levels School And Clubs  Are Already Working In This Pocket. Highly Preferable Area For Investment And Grow Your Money Smartly. Resident Is Already Start In This Society With All The Club Facilities Like Swimming Pool And Many More Amenities Inside The Club.Read More",2891.0,₹34.6 Lac 
"2 Bhk Apartment For Sale In Shubham Pearl, Palanpur Surat",Super Area,1275 sqft,Unfurnished,5 Out Of 13,New Property,East,Garden/Park,"No Brokerage On This Property. Shubham Pearl Is A Luxurious High Rise Apartment Situated In Palanpor. The Building Has The Facilities Available Like Garden, Children Play Area, Sitting Area, Banquet Hall, Multipurpose Court, Basement Parking Etcread More",3851.0,₹49.1 Lac 
"2 Bhk Apartment For Sale In Chanchal Rang Raag Residency, Jahangir Pura Surat",Carpet Area,865 sqft,Resale,Ready To Move,9 Out Of 12,Unfurnished,East,Road View Property,2646.0,₹35.3 Lac 
"Office Space For Sale In Sns Arista, Vesu Surat",Super Area,620 sqft,New Property,Ready To Move,7 Out Of 9,1 Covered,1,"Sns Arista Is A Perfect Commercial Building With Each Office And Shop With Wc, And Ac. The Project Is Fully Booked, And Only 2 Premises Available Each 535 Sq , And Only 2 Premises With Ft 620 Sq Ft And Only One Premise With 1290 Sqft, Which Is Furnished. Contact For Price Benefit.Read More",7258.0,₹45 Lac 
2 Bhk Apartment For Sale In Pal Surat,Super Area,1127 sqft,New Property,Poss. By Nov '24,7 Out Of 19,Unfurnished,East,Luxurious Flat For Sell In Surat City Prime Area. For More Details Please Contact.Read More,4000.0,₹45.1 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,707 sqft,Resale,Ready To Move,8 Out Of 13,Unfurnished,East,2 Bhk Flat For Sell In Jahangirabad Area With All Aminities.,3616.0,₹44.1 Lac 
"2 Bhk Apartment For Sale In Shagun Residency, Jahangir Pura Surat",Carpet Area,1200 sqft,Resale,Ready To Move,2 Out Of 14,Unfurnished,East,Not Available,4697.5,₹35 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1248 sqft,Resale,Ready To Move,5 Out Of 11,Furnished,East,Not Available,3926.0,₹49 Lac 
"1 Bhk Apartment For Sale In Orchid Infinity, Palan Pur Patiya Surat",Carpet Area,400 sqft,Resale,Ready To Move,7 Out Of 13,Furnished,East,Fully Farnisned Flat With Rental Income,4000.0,₹30 Lac 
3 Bhk Villa For Sale In Masma Village Surat,Super Area,80 sqyrd,Furnished,Ready To Move,New Property,East,"Garden/Park, Main Road",Not Available,4861.0,₹35 Lac 
3 Bhk  House For Sale In Narthan Surat,Carpet Area,1500 sqft,New Property,Ready To Move,Ground Out Of 2,Unfurnished,East,"Its A 3 Bhk Residential House Wil All Luxurious Amenities. Like Club House, Swimming Pool, Gym, Garden, Children Play Area, Theater, Disco, Etc...Read More",2947.0,₹44.2 Lac 
2 Bhk Apartment For Sale In Surat Surat,Carpet Area,1285 sqft,Resale,Ready To Move,10 Out Of 10,Unfurnished,East,Nice Campus And Location,3268.0,₹42 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Carpet Area,1000 sqft,Resale,Ready To Move,5 Out Of 7,Semi-Furnished,North,"Big Size Carpet Area, Fully Ventilation",4697.5,₹40 Lac 
3 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,950 sqft,Resale,Ready To Move,10 Out Of 13,Furnished,East,Top Property Price,1621.0,₹23.5 Lac 
"2 Bhk Apartment For Sale In Vaishnodevi Ideal Homes, Dahin Nagar Surat",Super Area,1084 sqft,Resale,Ready To Move,2 Out Of 5,Semi-Furnished,Vaishnodevi Ideal Homes,Near Dmart Jahangirpura And 1 Km From Upcoming Jahangirpura Metro Station.Read More,2768.0,₹30 Lac 
"2 Bhk Apartment For Sale In Green City, Pal Surat",Super Area,1201 sqft,Resale,Ready To Move,6 Out Of 13,Unfurnished,West,"A 2 Bedroom Resale Flat, Located In Pal, Surat, Is Available. It Is A Ready To Move In Flat Located In Green City 2Bhk. Situated In A Prominent Locality, It Is A 11 Year Old Property, Which Is In Its Prime Condition. The Flat Is On The 5Th Floor Of The Building. Aesthetically Designed, This Property Has 2 Bathrooms. The Property Also Has 1Balconys. The Flat Has A Good View Of The Locality. The Flat Is A Freehold Property And Has A Super Builtup Area Of 1201 Sq. Ft. The Flat Is Located In A Gated Society And Offers Good Security. It Offers A Number Of Important Facilities Like Lifts,Read More",3164.0,₹38 Lac 
"2 Bhk Apartment For Sale In Shubham Pearl, Palanpur Surat",Carpet Area,975 sqft,Resale,Poss. By Dec '24,9 Out Of 13,Unfurnished,South -West,2 Bhk Flate In Gavrav Path Road Pal Palanpore Road Surat Best Location Locality  Best Property In Investment Property Best Users Propertyread More,3843.0,₹49 Lac 
"2 Bhk Apartment For Sale In Shiv Samarth 1, Pal Gam Surat",Super Area,1127 sqft,New Property,Ready To Move,10 Out Of 19,Unfurnished,East,Not Available,3683.0,₹41.5 Lac 
"2 Bhk Apartment For Sale In Orchid Fantasia, Palanpur Surat",Carpet Area,680 sqft,New Property,Ready To Move,4 Out Of 14,Unfurnished,East,"A Luxury Main Road High Rise Towers,All Ammenties In Project Easy Connect To Metro,New Project Easy Connect To All Marketsread More",3600.0,₹45 Lac 
"1 Bhk Apartment For Sale In Ramaa Residency, Jahangirabad Surat",Super Area,750 sqft,Resale,Ready To Move,5 Out Of 13,Unfurnished,East,1 Bhk Flat For Sell In Jahangirabad Area With All Aminities,3333.0,₹25 Lac 
"2 Bhk Apartment For Sale In Prayosha Shine, Dindoli Surat",Super Area,1171 sqft,Unfurnished,Poss. By Jun '24,New Property,Prayosha Shine,2,"Thoughtfully Designed. Delicately Moulded, And Ended Up As An Incredible Portrait. Hallmark Of Valuing Creativity And Innovation, This Time Savani Developers  Are Presenting Surat Inhabitants; Prayosha Shine. A Domicile, Neither Seen Nor Experienced Ever Before. Turn Your Life'S Chapter Into A Remarkably Altered Territory, Comprising Leisure, Luxury, And Life In A Real Sense.Read More",4697.5,Call for Price
2 Bhk Apartment For Sale In Dindoli Surat,Carpet Area,570 sqft,New Property,Ready To Move,8 Out Of 8,Unfurnished,East,"North East Facing Flat With Open Terrace On The Other End, The Project Is Equipped With Power Backup And 24 X 7 Cctv Surveillance. Autodoor Johnson Lifts And Well Designed Banquet Hall.Read More",2689.0,₹26.4 Lac 
"2 Bhk Apartment For Sale In Sumerru Sky Leaf, Palanpur Surat",Super Area,1204 sqft,New Property,Poss. By Jan '26,7 Out Of 14,Unfurnished,East,"This 2 Bhk Flat Is Incredibly Affordable, With The Option To Pay Just 10 Upfront And The Remaining Amount After Possession Through Easy Emis. Conveniently Located Within Walking Distance To The Metro Station, It Offers Hasslefree Commuting. Enjoy The Perfect Blend Of Affordability And Convenience In This Wellsituated Residence.Read More",3838.0,₹46.2 Lac 
"2 Bhk Apartment For Sale In The Capital, Palanpur Surat",Super Area,1190 sqft,New Property,Ready To Move,8 Out Of 13,Unfurnished,East,Budget,4034.0,₹48 Lac 
"2 Bhk Apartment For Sale In Anand Aspire, Jahangirabad Surat",Super Area,1295 sqft,Unfurnished,Poss. By Dec '25,New Property,Anand Aspire,2,"Multistorey Apartment For Sale In Jahangirabad, Surat. Covered Area Is 1295.0  Sq-Ft. This Property Belongs To ""Anand Aspire"" .Read More",3411.0,₹44.2 Lac 
2 Bhk  House For Sale In Dindoli Surat,Carpet Area,912 sqft,Unfurnished,Poss. By Jun '24,New Property,East,"Garden/Park, Main Road",Elevation,4697.5,₹27 Lac 
Plot/Land For Sale In Dandi Road Surat,Plot Area,756 sqft,New Property,36 X 21,Co-Operative Society,3,2,"Planning To Build Residence In Surat This Plot In Vankala Is The Best Deal For You. It Spans Over Spectacular 84 Sq.Yd. Super Built Up Area. Ownership Of This Property Provides You Entitlement To Construct Upto 2 Floor. The Boundary Wall Is Already Build Around The Plot. To Build The Residence, Possession Is Ready. The Property Belongs To Owner Through Cooperative Society Ownership. This Residential Plot Is All Yours For  44.21 Lac. Its A East Facing Plot.Read More",5848.0,₹44.2 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,700 sqft,New Property,Ready To Move,4 Out Of 13,Unfurnished,North - East,Ta 2 Bhk Of Affordable Luxury That Promises You An Aweinspiring Lifestyle. Come And Embrace A Contemporary Lifestyle Replenished With Aesthetics And Tranquility.Read More,3951.0,₹47 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,662 sqft,New Property,Poss. By Apr '26,Lower Basement Out Of 14,Unfurnished,East,"New Gaurav Path Prime Location With All Social Amenities Like Metro, School, Hospitals, College And Restaurants At Walking Distance. 1St Time Ever In Jahangirabad  70 Percent Open Space Campus Having Individual Towers With Abundant Light  Ventilation In Campus, With Natural Skylight At Each Floor Levelread More",3550.0,₹42.8 Lac 
3 Bhk Apartment For Sale In Dindoli Surat,Super Area,1381 sqft,New Property,Poss. By Jan '25,7 Out Of 11,Unfurnished,North - East,"Gym, Banquet Hall,Garden,Solar Panel,Etc",2691.0,₹37.2 Lac 
3 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,859 sqft,New Property,Poss. By Apr '26,6 Out Of 14,Unfurnished,East,Kelly La Maison One Of The Best Project In Jahangirabad With All Modern Amenities.Read More,2544.0,₹39 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Carpet Area,700 sqft,Furnished,Poss. By Jan '26,New Property,East,Main Road,Find Your Dream Apatment With Us.,3171.0,₹39 Lac 
2 Bhk Apartment For Sale In Althan Surat,Super Area,1250 sqft,New Property,Poss. By Apr '25,5 Out Of 14,Unfurnished,South -West,New Project In Althan2 Bhk And 3 Bhk Campus.2 Bhk 1250 Sq Ft.   43.63 Lacs3 Bhk 1690 Sq Ft.  58.99 Lacsno Emi Till Possesion.2 Bhk Pay Only 9 Lacs.3 Bhk Pay Only 12 Lacs.Intrest Pay By Builder Till Possesion.Good Location.Read More,3561.0,₹44.5 Lac 
2 Bhk Villa For Sale In Masma Village Surat,Carpet Area,1120 sqft,Unfurnished,Poss. By Jul '24,New Property,East,Freehold,Main Road Touch Underconstruction Project.,2500.0,₹28 Lac 
"2 Bhk Apartment For Sale In Swagat Clifton, Bhimrad Surat",Super Area,1252 sqft,New Property,Ready To Move,6 Out Of 15,Unfurnished,South -West,2 Bhk Flat For Sell In Althan Prime Area With All Aminities .,3514.0,₹44 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,1100 sqft,New Property,Ready To Move,6 Out Of 13,Unfurnished,East,"Luxurious Flat For Sell In Surat Citys Prime Locality With All Aminities .All Thing Nearest Like Market , Transportation , School Etc.Contact For More Details .Read More",3273.0,₹36 Lac 
"1 Bhk Apartment For Sale In S2N Orchid Ventura, Palan Pur Patiya Surat",Super Area,768 sqft,Resale,Ready To Move,3 Out Of 5,Unfurnished,North - East,"1 Bhk Flat For Rent, It Is A Superb Property And Offers An Excellent View. The Flat Is Semi Furnished With Multiple Amenities And Promises A Comfortable Stay. Indeed, The Society Too Has For Enjoyment, Such As Club Housecommunity Center, And Security Personnel Etc, Other Facilities Include Intercom Facility, Lift  And Park Etc.Read More",3060.0,₹23.5 Lac 
Plot/Land For Sale In Narthan Surat,Plot Area,1053 sqft,Resale,19.2 X 54.8,Freehold,3,1,"This Society Is Located At Green Zone With Education Zone Purely Resident Area And Upcoming New Development At This Area. Jahangirpura Dandi Narthan Road, 4 Lane Developing Road With All The Modern Facilites, More Than 7 International Levels School And Clubs  Are Already Working In This Pocket. Highly Preferable Area For Investment And Grow Your Money Smartly.Read More",2051.0,₹21.6 Lac 
"2 Bhk Apartment For Sale In Orchid Fantasia, Palanpur Surat",Super Area,1250 sqft,Unfurnished,8 Out Of 14,Resale,East,Garden/Park,"No Brokerage On This Property. Orchid Fantasia Is Not Just A Residence Its A Lifestyle Destination Where Every Day Is A Celebration. The Building Has The Amenities Available Like Club House , Garden, Children Play Area, Sitting Area, Club House, Basement Parking, Well Designed Building Reception, 2 Automatic Auto Door Lifts Etcread More",3700.0,₹46.3 Lac 
"Office Space For Sale In Rajhans Olympia, Bhatar Surat",Carpet Area,220 sqft,New Property,Ready To Move,4 Out Of 4,1 Covered,3,Its Office Use Only We Have Shop Also In 2Nd Floor That One Is Price Deferent U Can Call For Visitread More,5795.0,₹25.5 Lac 
"Office Space For Sale In Sns Arista, Vesu Surat",Carpet Area,620 sqft,Resale,Ready To Move,7 Out Of 10,1 Open,1,"Sns Arista Is Premium Commercial Building That Has Offices Of Reputed Professionals. The Mentioned Office Is Unfurnished 620 Sq-Ft Office On 7Th Floor. It Also Has Private Washroom For The Convenience. The Office Space Can Be Best Place For Backend Office, Ca Office And Lawyers Office.Read More",6774.0,₹42 Lac 
1 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,685 sqft,Resale,Ready To Move,7 Out Of 12,Unfurnished,East,"Good Campus, Reasonable  Rate. In 1 Bhk Good Aminitys Available. Ready Possession To Use, Children Play Area Also Perfect. Big Garden, Club House, Good Locality. Perfect Location For Residenceread More",3351.0,₹23 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1125 sqft,Resale,Ready To Move,3 Out Of 5,Semi-Furnished,East,Not Available,3556.0,₹40 Lac 
"2 Bhk Apartment For Sale In Laxmi Nova, Jahangirabad Surat",Super Area,1278 sqft,New Property,Poss. By Aug '24,8 Out Of 13,Unfurnished,East,Not Available,3521.0,₹45 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1205 sqft,Resale,Ready To Move,7 Out Of 13,Furnished,East,Not Available,3817.0,₹46 Lac 
"2 Bhk Apartment For Sale In Anjani Residency, Jahangir Pura Surat",Super Area,1250 sqft,Resale,Ready To Move,1 Out Of 5,Furnished,"Garden/Park, Main Road",2Bhk Fullfurnish Flat. Ready To Move Flat.,3440.0,₹43 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Carpet Area,800 sqft,Resale,Ready To Move,1 Out Of 5,Furnished,1,Not Available,4697.5,₹38 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,700 sqft,Resale,Ready To Move,8 Out Of 10,Furnished,East,"Its A Semi Furnished 2 Bhk Flat, Wind Direction Flat. Nr. Raj World Palanpur.Read More",3500.0,₹42 Lac 
2 Bhk Apartment For Sale In Surat Surat,Carpet Area,550 sqft,Resale,Ready To Move,5 Out Of 11,Unfurnished,East,Nice Campus,3167.0,₹38 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Super Area,1250 sqft,Resale,Ready To Move,6 Out Of 10,Semi-Furnished,East,Multistorey Apparment Is Available For Sale. It Is Having 1250 Sqft Covered Area. In A Good Location. Please Contact For More Details.Read More,3200.0,₹40 Lac 
"2 Bhk Apartment For Sale In Green Paradise, Jahangirabad Surat",Super Area,1015 sqft,Resale,Ready To Move,9 Out Of 13,Unfurnished,East,"Looking For A 2 Bhk Property For Sale In Surat Buy This 2 Bhk Flat In Green Paradise That Is Situated In Jahangirabad , Surat. . The Floor Plan Additionally Contains 2 Bedrooms, 2 Bathrooms And 1 Balcony. All In All, The Flat Is Spread Over A Super Built Up Area Of 1015 Sq.Ft. The Residential Building Has 13 Floors In Total And The Flat For Sale Is Located On The 9Th Floor.Read More",3448.0,₹35 Lac 
"2 Bhk Apartment For Sale In Nakshatra Embassy, Palanpur Surat",Carpet Area,965 sqft,Resale,Ready To Move,6 Out Of 12,Semi-Furnished,South -West,No Gst No Extra Charge  In Registrations,3612.0,₹45 Lac 
"2 Bhk Apartment For Sale In Rajhans Platinum, Palanpur Surat",Super Area,1170 sqft,Resale,Ready To Move,2 Out Of 5,Unfurnished,East,2 Bhk Flat For Sell In Palanpur Area With  All Aminties.,3248.0,₹38 Lac 
"2 Bhk Apartment For Sale In Sangini Swaraj, Jahangir Pura Surat",Super Area,1050 sqft,Resale,Ready To Move,6 Out Of 12,Unfurnished,East,1 Bhk Flat For Sell In Jahangirabad Area With All Aminities .,3333.0,₹35 Lac 
2 Bhk Apartment For Sale In Dindoli Surat,Carpet Area,659 sqft,New Property,Ready To Move,8 Out Of 8,Unfurnished,West,"North East Facing Flat With Open Terrace On The Other End, The Project Is Equipped With Power Backup And 24 X 7 Cctv Surveillance. Autodoor Johnson Lifts And Well Designed Banquet Hall.Read More",2676.0,₹30.4 Lac 
"2 Bhk Apartment For Sale In Orchid Gardenia, Palanpur Surat",Super Area,1180 sqft,New Property,Ready To Move,6 Out Of 14,Unfurnished,East,"This Budgetfriendly 2 Bhk Flat Is Surrounded By Lowrise Buildings, Offering An Open And Spacious Environment. With A Lower Price Tag Compared To Nearby Projects, Its A Great Deal For Comfortable Living. Enjoy The Open Surroundings And Affordable Luxury In This Charming Residence.Read More",3991.0,₹47.1 Lac 
"2 Bhk Apartment For Sale In Shiv Samarth 1, Pal Gam Surat",Super Area,1127 sqft,New Property,Ready To Move,6 Out Of 19,Unfurnished,East,"2 Bhk Luxurious Flat For Sale In Pal Area With Top High Rise Building In Pal Area.Total 19 Floor Building ,2 And 3 Bhk Availableread More",3700.0,₹41.7 Lac 
"2 Bhk Apartment For Sale In Anand Aspire, Jahangirabad Surat",Super Area,1300 sqft,Unfurnished,Poss. By Dec '25,New Property,Anand Aspire,2,"Multistorey Apartment For Sale In Jahangirabad, Surat. Covered Area Is 1300.0  Sq-Ft. This Property Belongs To ""Anand Aspire"" .Read More",3411.0,₹44.3 Lac 
2 Bhk  House For Sale In Dindoli Surat,Carpet Area,960 sqft,Unfurnished,Poss. By Oct '24,New Property,East,Main Road,Location,4697.5,₹36 Lac 
3 Bhk  House For Sale In Narthan Surat,Carpet Area,1500 sqft,New Property,Poss. By Apr '25,1 Out Of 1,Unfurnished,East,"Planning To Build Residence In Surat This Plot In Vankala Is The Best Deal For You. It Spans Over Spectacular 98 Sq.Yd. Super Built Up Area. Ownership Of This Property Provides You Entitlement To Construct Upto 1St Floor. The Boundary Wall Is Already Build Around The Plot. To Build The Residence, Possession Is Ready By April 2025. The Property Belongs To Owner Through Cooperative Society Ownership. This Residential Plot Is All Yours For 44 Lac. Its A East Facing Plot.Read More",2933.0,₹44 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,600 sqft,New Property,Ready To Move,7 Out Of 13,Unfurnished,East,"2 Bhk Flats Are Available At This Location.This Project Is Recently Constructed And Getting Ready For New Residents In Pal Area.Green Group Is Offering So Many Amenities Here Like Club House, Open Place To Arrange Function, Sports Ground, 2 Level Underground Parking And Many More.Seems Like Good Project In Pal Area.Must Buy And Visit Area.Read More",3300.0,₹33.4 Lac 
2 Bhk Apartment For Sale In Vanakala Surat,Carpet Area,698 sqft,New Property,Ready To Move,14 Out Of 14,Unfurnished,East,This Is Single Tower Appartment Both Side Will Open Views Life Time.Read More,3204.0,₹40.7 Lac 
3 Bhk Apartment For Sale In Dindoli Surat,Super Area,1472 sqft,New Property,Poss. By Jun '25,7 Out Of 13,Unfurnished,East,Pure Residential Project,2497.0,₹36.8 Lac 
2 Bhk Apartment For Sale In Gail Tower Surat,Carpet Area,750 sqft,Resale,Ready To Move,4 Out Of 7,Unfurnished,East,This Is 2 Bhk Fully Furnished Flat For Sale,2952.0,₹31 Lac 
2 Bhk Apartment For Sale In Pal Gam Surat,Carpet Area,620 sqft,Unfurnished,Ready To Move,New Property,East,Main Road,2 Bhk Luxurious Lifestyle.Modern Living In The Heart Of The City. Deck Balcony Project.Read More,3999.0,₹45.1 Lac 
2 Bhk Apartment For Sale In Bhimrad Surat,Super Area,1275 sqft,New Property,Poss. By Jun '24,5 Out Of 13,Unfurnished,East,Luxurious Flat For Sell In Surat City Prime Area With All Luxurious Aminities.Read More,3843.0,₹49 Lac 
3 Bhk Villa For Sale In Masma Village Surat,Carpet Area,1440 sqft,Unfurnished,Poss. By Jul '24,New Property,East,Freehold,Main Road Touch Underconstruction Project.,2569.0,₹37 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1050 sqft,Resale,Ready To Move,2 Out Of 5,Unfurnished,South -West,2 Bhk Flat For Sell In Palanpur Canal Road With  Aminities Near Jalaram  Schoolread More,3048.0,₹32 Lac 
"2 Bhk Apartment For Sale In Nakshatra Embassy, Palanpur Surat",Super Area,1246 sqft,Resale,Ready To Move,7 Out Of 13,Unfurnished,North - East,"2 Bhk Flat For Rent, It Is A Superb Property And Offers An Excellent View. The Flat Is Semi Furnished With Multiple Amenities And Promises A Comfortable Stay. Indeed, The Society Too Has For Enjoyment, Such As Club Housecommunity Center, Fitness Centregym, And Security Personnel Etc, Other Facilities Include Intercom Facility, Lift  And Park Etc.Read More",3531.0,₹44 Lac 
Plot/Land For Sale In Narthan Surat,Plot Area,1467 sqft,Resale,26.7 X 54.9,Freehold,2,1,"This Society Is Located At Green Zone With Education Zone Purely Resident Area And Upcoming New Development At This Area. Jahangirpura Dandi Narthan Road, 4 Lane Developing Road With All The Modern Facilites, More Than 7 International Level Schools And Clubs  Are Already Working In This Pocket. Highly Preferable Area For Investment And Grow Your Money Smartly.Read More",2045.0,₹30 Lac 
"2 Bhk Apartment For Sale In Orchid Gardenia, Palanpur Surat",Super Area,1180 sqft,New Property,Poss. By Dec '24,5 Out Of 13,Unfurnished,East,"No Brokerage On This Property. A 2Bhk Excellent Garden View Flat For Sale In Orchid Gardenia, Palanpor, Surat. This Is A Luxurious Highrise Building With Facilities Available Like The Garden, Children'S Play Area, Jogging Track, Gym, Clubhouse, Multi-Purpose Court, Basement Parking, Net Cricket, Etc. For More Details And Visit Contact Saffron Property Consultant.Read More",3797.0,₹44.8 Lac 
